country,forest_chg
Brazil,-597058.0
Indonesia,-254830.0
Sudan,-213061.9
Nigeria,-90122.0
Tanzania,-88738.0
Myanmar,-80642.0
Zimbabwe,-71940.0
Australia,-70480.0
"Congo, Dem. Rep.",-68508.0
"Venezuela, RB",-63262.0
Bolivia,-62142.0
Argentina,-58726.0
Mexico,-57994.0
Cameroon,-48400.0
Mozambique,-47788.0
Ethiopia,-47206.0
Ecuador,-43472.0
Paraguay,-39322.0
Zambia,-36652.0
Honduras,-31840.0
Cambodia,-31048.0
Papua New Guinea,-30814.0
"Korea, Dem. Rep.",-27882.0
Angola,-27456.0
Ghana,-27388.0
Botswana,-26038.0
Peru,-24640.0
Colombia,-22220.0
Malaysia,-20936.0
Uganda,-19394.0
Mongolia,-18020.0
Chad,-17434.0
Mali,-17400.0
Lao PDR,-17194.0
Somalia,-16886.0
Namibia,-16204.0
Nicaragua,-15400.0
Burkina Faso,-13180.0
Benin,-13000.0
Madagascar,-12530.0
Guatemala,-12034.0
Nepal,-11810.0
Senegal,-9552.0
Pakistan,-9260.0
Guinea,-7920.0
Niger,-7658.0
Malawi,-7250.0
Liberia,-6600.0
Central African Republic,-6580.0
Panama,-5646.0
Thailand,-5474.0
Sri Lanka,-5192.0
Sierra Leone,-4312.0
Togo,-4178.0
"Congo, Rep.",-3393.0
Kenya,-2630.0
Equatorial Guinea,-2576.0
Timor-Leste,-2464.0
Guinea-Bissau,-2140.0
Belize,-2122.0
Algeria,-1926.0
Mauritania,-1830.0
"Korea, Rep.",-1612.0
Kazakhstan,-1242.0
Solomon Islands,-1222.0
Burundi,-1206.0
El Salvador,-988.0
Eritrea,-978.0
Armenia,-934.0
Bangladesh,-572.0
Georgia,-418.2
Brunei Darussalam,-366.0
Suriname,-252.0
Bosnia and Herzegovina,-250.0
Haiti,-166.0
Trinidad and Tobago,-157.4
Albania,-149.8
Comoros,-98.0
Jamaica,-83.4
Dominica,-59.0
Northern Mariana Islands,-40.1
Mauritius,-37.6
Virgin Islands (U.S.),-36.8
American Samoa,-7.5
Antigua and Barbuda,-5.0
Marshall Islands,-3.6
St. Kitts and Nevis,0.0
"Yemen, Rep.",0.0
Maldives,0.0
Seychelles,0.0
Singapore,0.0
Malta,0.0
Saudi Arabia,0.0
Qatar,0.0
San Marino,0.0
Monaco,0.0
Montenegro,0.0
Vanuatu,0.0
Tuvalu,0.0
Turks and Caicos Islands,0.0
Turkmenistan,0.0
New Caledonia,0.0
Oman,0.0
South Sudan,0.0
Tonga,0.0
Sao Tome and Principe,0.0
South Africa,0.0
Afghanistan,0.0
Barbados,0.0
Djibouti,0.0
Guyana,0.0
"Iran, Islamic Rep.",0.0
Canada,0.0
Bermuda,0.0
Gabon,0.0
Isle of Man,0.0
Guam,0.0
"Bahamas, The",0.0
Grenada,0.0
Kiribati,0.0
Dominican Republic,0.0
Azerbaijan,0.0
Faeroe Islands,0.0
Libya,0.0
Andorra,0.0
Jordan,0.0
Aruba,0.2
Greenland,0.2
Cayman Islands,3.0
Bahrain,3.6
Liechtenstein,4.0
"Micronesia, Fed. Sts.",5.7
Luxembourg,7.5
St. Vincent and the Grenadines,15.6
Tajikistan,20.0
Palau,23.0
Belgium,28.8
Kuwait,30.3
St. Lucia,32.0
Lesotho,44.0
Lebanon,60.6
Slovak Republic,114.0
Cyprus,122.1
Netherlands,200.0
Iraq,210.0
Iceland,230.0
"Egypt, Arab Rep.",272.0
Cabo Verde,278.9
Czech Republic,320.0
Samoa,410.0
"Gambia, The",416.0
Japan,466.0
Fiji,679.0
Slovenia,690.0
United Arab Emirates,744.2
Moldova,762.0
Croatia,768.0
Costa Rica,866.0
"Macedonia, FYR",952.0
Switzerland,982.0
Swaziland,998.0
Morocco,1020.0
Denmark,1030.0
Estonia,1060.0
French Polynesia,1100.0
Austria,1210.0
Syrian Arab Republic,1310.0
Portugal,1366.0
Rwanda,1370.0
Kyrgyz Republic,1516.0
Cote d'Ivoire,1802.0
Latvia,2038.0
Uzbekistan,2227.0
Lithuania,2306.0
Bhutan,2356.0
Hungary,2464.0
Russian Federation,2600.0
Finland,2680.0
Romania,2748.0
Puerto Rico,2826.0
United Kingdom,2844.0
Ireland,2916.0
Germany,3350.0
Tunisia,3958.0
Ukraine,4830.0
Serbia,4948.0
Poland,5108.0
New Zealand,5322.0
Greece,6644.0
Bulgaria,7104.0
Cuba,8812.0
Uruguay,9136.0
Sweden,9220.0
Belarus,9276.0
Chile,10432.0
Norway,10878.0
Philippines,12046.0
France,15130.0
Italy,17150.0
Turkey,18916.0
Spain,47069.2
Vietnam,47220.0
India,47850.0
United States,84526.0
China,552466.8
